Date,Actual,Predicted,RSI
2023-04-30,29268.806610380427,28365.18809393681,43.43467533674777
2023-05-01,28091.56841175142,28465.95549574639,41.824070786038114
2023-05-02,28680.53713724353,28225.20970546324,39.15157603738487
2023-05-03,29006.30863832058,28441.76163075098,51.37765161261978
2023-05-04,28847.710860752115,28544.792608520485,54.81650223936127
2023-05-05,29534.384816454676,29097.169545615783,68.92563903233507
2023-05-06,28904.623014383757,28880.853023936925,58.97968399185599
2023-05-07,28454.97843299562,28932.099797381343,56.87928896246678
2023-05-08,27694.273373481163,28640.57922529222,51.21161441609259
2023-05-09,27658.775397576468,28161.764139343177,44.78829618791268
2023-05-10,27621.75588526389,27945.83270243584,43.48462842413278
2023-05-11,27000.789109944577,27356.726065961542,28.36950850095623
2023-05-12,26804.990196555857,27148.50087710156,28.06378965588032
2023-05-13,26784.0781021551,26942.436404668613,28.41219192781901
2023-05-14,26930.638686443588,26995.31327407829,29.96125395010486
2023-05-15,27192.69338906632,27466.92700830526,40.86311143280685
2023-05-16,27036.65040689091,27233.87602900733,31.67762224950061
2023-05-17,27398.802684419134,27008.896950626586,32.2272483023298
2023-05-18,26832.20899792547,26820.72822327008,29.5604000409786
2023-05-19,26890.12890848465,26383.83133951353,19.26449570557071
2023-05-20,27129.585901022296,26595.44304617149,27.30901164185724
2023-05-21,26753.826203012584,26769.45950103005,27.83481013768213
2023-05-22,26851.277300962247,26981.55563574354,36.721071878776726
2023-05-23,27225.726622562303,27300.04598475565,43.83672480214706
2023-05-24,26334.818401966186,26994.393719477783,35.26529133445081
2023-05-25,26476.2070005576,26995.868323216477,43.25287500227331
2023-05-26,26719.29100380969,27070.79884647742,48.91099124306797
2023-05-27,26868.353500958816,27121.553271053064,51.03713750570226
2023-05-28,28085.64645643577,27760.64519892805,61.2494543321015
2023-05-29,27745.884800440483,27784.80108843561,55.30758977948789
2023-05-30,27702.3495679233,27631.866174160437,56.52797800399241
2023-05-31,27219.65816921458,27311.91306561637,48.28384455834997
2023-06-01,26819.97269242631,27476.882804330184,49.878907193308365
2023-06-02,27249.589812110888,27498.592495015204,53.31352633815441
2023-06-03,27075.128903394543,27533.07105485135,49.49192485477451
2023-06-04,27119.06639478301,27704.46176011587,53.632549391067926
2023-06-05,25760.097683474283,27647.63081332667,41.32448134025783
2023-06-06,27238.783231910827,27493.77227300492,50.0883028477523
2023-06-07,26345.998000652147,27414.06298245727,50.07558935300339
2023-06-08,26508.216802058687,27146.76207352635,50.21582200243885
2023-06-09,26480.37499541474,26949.991787132654,48.34098664312178
2023-06-10,25851.24018678464,26819.70878869496,43.3787006515401
2023-06-11,25940.16797148787,26671.96329330864,33.62793026928655
2023-06-12,25902.499988856474,26721.772180055254,35.25329486860032
2023-06-13,25918.728476769025,26646.350001922016,35.668779819026724
2023-06-14,25124.67575708288,26534.14472369332,33.969129380053275
2023-06-15,25576.39448114945,26505.90883808336,40.55927914019612
2023-06-16,26327.462908997382,26666.255236964025,43.32536690627713
2023-06-17,26510.675798176475,26779.529482610546,45.91948790834049
2023-06-18,26336.21289075024,27097.03828000251,44.4454639520701
2023-06-19,26851.02929437713,27758.894847251275,58.79383230446836
2023-06-20,28327.488279999805,28087.865172462683,58.7790360600664
2023-06-21,30027.29687726145,29608.943801755555,76.26640191484145
2023-06-22,29912.281338905657,29290.543098583188,74.45302336949334
2023-06-23,30695.468849568395,29868.38582042481,77.31482515920005
2023-06-24,30548.69543969011,29591.798720294184,82.47058537763569
2023-06-25,30480.261685902988,29783.42732550414,81.47201270389402
2023-06-26,30271.13089639856,29753.303362300947,79.58025745001675
2023-06-27,30688.16423116885,30613.1530932758,80.6315285952504
2023-06-28,30086.24608639918,30549.46560923315,82.67183339878142
2023-06-29,30445.351478757595,30455.51676918917,82.45786996021465
2023-06-30,30477.25207297125,30298.228072570248,80.5974867701909
2023-07-01,30590.078209711817,30128.90329306573,80.39398401218033
2023-07-02,30620.76951041768,30166.541221022537,82.62137572509558
2023-07-03,31156.43945364828,31243.16599252953,82.67638626587735
2023-07-04,30777.5820699258,31035.91132537216,72.31272006444611
2023-07-05,30514.16602379129,30172.109182609347,56.00485924957362
2023-07-06,29909.337757426478,30019.463415031125,49.96761170901256
2023-07-07,30342.26572153193,29639.3194543519,45.78869433490089
2023-07-08,30292.541076705733,29605.209915581887,46.873469792683856
2023-07-09,30171.23448794186,29519.19017973763,46.27618361772064
2023-07-10,30414.470670743944,30049.540593617705,51.71318044517132
2023-07-11,30620.951318991087,30101.059931869648,49.15410542459946
2023-07-12,30391.646588257605,30448.11058671685,54.24134775911863
2023-07-13,31476.048858118094,30981.55233855515,61.9139983376072
2023-07-14,30334.068346049626,30450.633994962056,48.68292161886296
2023-07-15,30295.806524502976,30010.436945077265,47.25548708126947
2023-07-16,30249.13294733209,29786.82838946852,46.54424547880656
2023-07-17,30145.88877384133,29580.98377512312,39.78136021267777
2023-07-18,29856.5626371553,29528.70107774701,40.51495319439624
2023-07-19,29913.92383427484,29384.64709773542,43.54447558671235
2023-07-20,29792.01555980875,29459.151303580147,48.5919539160784
2023-07-21,29908.74406656381,29188.261266889764,44.369761881700335
2023-07-22,29771.80282880264,29119.69900345955,43.38687257027984
2023-07-23,30084.53904010329,29283.593510280567,48.95006060065265
2023-07-24,29176.91599736207,29138.747152838307,37.08990455964834
2023-07-25,29227.390676579857,28807.376303026587,34.973360171567336
2023-07-26,29354.97262217788,28790.565376247767,38.57091532138447
2023-07-27,29210.689456765936,28275.247629557613,18.4940129065328
