Date,Price,Volume,RSI,EMA,MACD,MACD_Signal,ATR,BollingerMiddle,BollingerUpper,BollingerLower,STD,UpCandle,DownCandle,Dominance,DXY,FearGreed,HashRate
2018-02-01,9170.54,9959400448,34.828472145849744,11132.587875462636,-1038.7022673453102,-909.4074131295538,1067.9356142857143,11591.2021,14132.400124261036,9050.004075738963,878.1838517697295,0.0348793226232366,0.2426379739651257,76.78473564777158,88.66999816894531,30,20703947.9136968
2018-02-02,8830.75,12726899712,32.20471971026021,10825.676158734284,-1131.2071296285903,-953.7673564293611,1107.4605857142858,11314.72959,13789.784910414846,8839.674269585152,1055.869551310465,0.0001,0.7685149415202265,74.13226250142657,89.19999694824219,15,21512695.8790756
2018-02-03,9174.9102,7263790080,22.83130129625745,10605.574030903046,-1163.3368248120314,-995.6812501058952,1084.8549071428572,11084.8751,13450.506512687063,8719.243687312939,986.9617788929684,0.2169751834439933,0.5092697512322961,66.12580644723245,89.31666564941406,40,22321443.8444544
2018-02-04,8277.0098,7073549824,24.250826221623868,10295.098800115977,-1246.8796455419397,-1045.9209291931045,1062.9013285714286,10807.7356,13122.456239611434,8493.014960388566,1131.996884928148,0.1220955871664629,0.188539576461441,68.49389383442713,89.43333435058594,24,23130191.8098332
2018-02-05,6955.27,9285289984,22.022130725768847,9849.788293433849,-1403.5619005805656,-1117.4491234705963,1054.469857142857,10580.9741,13438.911659738753,7723.036540261247,1448.605292530515,0.0586383341553903,0.1234888626725859,66.52288336629253,89.55000305175781,11,23938939.775212
2018-02-06,7754.0,13999800320,30.14175256943141,9570.349854309334,-1446.6072924133296,-1183.2807572591432,1094.0799285714286,10409.24412,13515.429250084158,7303.058989915841,1562.3161750445342,0.0536495964027438,0.5567397401878031,58.43618036149192,89.58999633789062,8,22777107.8874505
2018-02-07,7621.2998,9169280000,25.023646718309067,9310.476513734757,-1474.4325322547993,-1241.5111122582746,1123.4170571428572,10216.56409,13516.463040328204,6916.665139671797,1614.9303612426909,0.592319513229529,0.3022114555421731,52.12989975976628,90.26000213623048,36,21615275.999689
2018-02-08,8265.5898,9346750464,31.352944765572488,9171.15828523679,-1428.03393062342,-1278.8156759313038,1138.3577642857144,10049.473560000002,13391.008734326935,6707.938385673069,1582.972113219539,0.3183588269684675,0.0001,60.45908139225786,90.2300033569336,30,20453444.111927494
2018-02-09,8736.9805,6784820224,35.52828766837212,9113.267913871883,-1337.8040423866005,-1290.6133492223632,1114.491342857143,9841.362575,12945.631782814286,6737.093367185712,1509.4020789281851,0.0001,0.4542334857301759,62.56534467034492,90.44000244140624,44,19291612.224166
2018-02-10,8621.9004,7780960256,32.93031109467849,9047.752245355634,-1261.0456588120378,-1284.6998111402984,1128.8756214285715,9692.452615,12726.42736747725,6658.47786252275,1378.4287360261808,0.4866151416289679,0.3946784598009314,62.44791280865892,90.3633346557617,54,20327643.251019374
2018-02-11,8129.9702,6122189824,28.244087191456543,8925.381305974883,-1225.7787285606046,-1272.9155946243598,1135.3899571428574,9552.381105,12604.135472525735,6500.626737474266,1149.1428605574254,0.0001,0.2903086843813218,66.0301616427577,90.2866668701172,31,21363674.27787275
2018-02-12,8926.5703,6256439808,36.3955670617635,8925.539838511566,-1120.632507667764,-1242.4589772330407,1146.7864071428571,9455.2896,12453.847835679382,6456.731364320618,900.2939132025903,0.0702786546715742,0.0001,62.26856628477172,90.20999908447266,42,22399705.304726124
2018-02-13,8598.3096,5696719872,40.3924356223381,8881.909140043357,-1051.6682877925468,-1204.300839344942,1091.9335142857144,9317.23506,12198.627824547775,6435.842295452227,793.725388414889,0.0631138066173087,0.2840606329867549,65.49428971894567,89.69999694824219,35,23435736.3315795
2018-02-14,9494.6299,7909819904,45.79075429850861,8963.60524137091,-914.1503333285729,-1146.2707381416683,1114.5085642857146,9228.996535000002,11964.350153148933,6493.642916851073,691.0917994317823,0.0260282787193541,0.0001,65.80150985159891,89.12000274658203,55,22899858.21424155
2018-02-15,10166.4004,9062540288,56.03503243230192,9123.977929188122,-742.402148682113,-1065.4970202497573,1068.9871500000004,9178.746535,11798.33064055537,6559.162429444629,809.950148857256,0.0815035681359721,0.1105076537168991,69.10814714550634,88.58999633789062,71,22363980.0969036
2018-02-16,10233.9004,7296159744,58.79346180497048,9271.96759196304,-593.9965664242645,-971.1969294846588,1006.5035428571432,9118.406545000002,11568.740409136011,6668.072680863992,927.0991601346968,0.1806588015966195,0.6226572982296679,74.73422354878215,89.0999984741211,67,21828101.97956565
2018-02-17,11112.7002,8660880384,61.38134081038854,9517.398606367968,-400.851507203166,-857.1278450283603,993.0020785714288,9084.726565,11395.183897649393,6774.26923235061,1134.5778647191908,0.0270677818676027,0.0586805610263852,76.86971699779039,89.2549991607666,74,21292223.8622277
2018-02-18,10551.7998,8744009728,63.91136520725605,9655.318765518909,-289.70311371423486,-743.6428987655352,973.012785714286,9047.496535,11228.25417158423,6866.738898415769,1217.165774839012,0.2211363979559285,0.2205507365795544,81.1711817701531,89.40999984741211,63,22285452.60335008
2018-02-19,11225.2998,7652089856,78.36183955068785,9864.649570116386,-145.59308333157605,-624.0329356787433,912.472785714286,9103.446535,11449.72008827514,6757.172981724864,1216.387798643288,0.0637654818645709,0.0518004479623709,82.00055263791764,89.56500053405762,67,23278681.344472453
2018-02-20,11403.7002,9926540288,76.41860373405305,10069.856320767534,-16.795812993805157,-502.5855111417557,836.0984857142861,9162.576565,11680.756332755318,6644.396797244681,1262.335131511196,0.7634507325028963,0.0001,82.90640988987404,89.72000122070312,74,24271910.085594825
