Date,Portfolio_Value,BTC_Balance,USDT_Balance
2023-05-01,1000.0,0.0,1000.0
2023-05-02,1000.0,0.0,1000.0
2023-05-03,1000.0,0.0,1000.0
2023-05-04,1000.0,0.0,1000.0
2023-05-05,1000.0,0.0,1000.0
2023-05-06,1000.0,0.0,1000.0
2023-05-07,1000.0,0.0,1000.0
2023-05-08,1000.0,0.0,1000.0
2023-05-09,1000.0,0.0,1000.0
2023-05-10,1000.0,0.0,1000.0
2023-05-11,1000.0,0.0,1000.0
2023-05-12,1000.0,0.0016869558407147146,954.4508611070727
2023-05-13,999.6696958794533,0.0032001673384024825,913.8892417462365
2023-05-14,999.6027736779745,0.005385904981696743,855.3462739974226
2023-05-15,1000.3921350590142,0.010235934345698371,724.731885576853
2023-05-16,1003.0745097900419,0.010235934345698371,724.731885576853
2023-05-17,1001.4772640693875,0.010235934345698371,724.731885576853
2023-05-18,1005.1842310053115,0.010235934345698371,724.731885576853
2023-05-19,999.3846152296751,0.013540521998419944,636.0624990270637
2023-05-20,1000.1688810527482,0.015794453022572652,575.4540032367646
2023-05-21,1003.9509732723105,0.017750983383685193,522.3741447370037
2023-05-22,997.2808691166815,0.018833996322286193,493.39940480205854
2023-05-23,999.1162627370682,0.018833996322286193,493.39940480205854
2023-05-24,1006.1686398829663,0.018833996322286193,493.39940480205854
2023-05-25,989.3892777327644,0.018833996322286193,493.39940480205854
2023-05-26,992.0521900786483,0.018833996322286193,493.39940480205854
2023-05-27,996.6304333019048,0.018833996322286193,493.39940480205854
2023-05-28,999.4378758250023,0.018833996322286193,493.39940480205854
2023-05-29,1022.3643668716002,0.018833996322286193,493.39940480205854
2023-05-30,1015.9652970921309,0.018833996322286193,493.39940480205854
2023-05-31,1015.1453546830126,0.018833996322286193,493.39940480205854
2023-06-01,1006.0543466549334,0.018833996322286193,493.39940480205854
2023-06-02,998.5266718550317,0.018833996322286193,493.39940480205854
2023-06-03,1006.6180791071622,0.018833996322286193,493.39940480205854
2023-06-04,1003.3322829940159,0.018833996322286193,493.39940480205854
2023-06-05,1004.1598015452369,0.018833996322286193,493.39940480205854
2023-06-06,978.5649898343463,0.024409484088178238,349.7742953196636
2023-06-07,1014.6589412003273,0.024409484088178238,349.7742953196636
2023-06-08,992.8665143037579,0.024409484088178238,349.7742953196636
2023-06-09,996.8261915554942,0.024409484088178238,349.7742953196636
2023-06-10,996.1465874192327,0.024409484088178238,349.7742953196636
2023-06-11,980.789731318657,0.024409484088178238,349.7742953196636
2023-06-12,982.9604126643676,0.024409484088178238,349.7742953196636
2023-06-13,982.0409566416927,0.024409484088178238,349.7742953196636
2023-06-14,982.4370856591693,0.024409484088178238,349.7742953196636
2023-06-15,963.0546684328157,0.027507132436784452,271.9468849514692
2023-06-16,975.4801551998901,0.027507132436784452,271.9468849514692
2023-06-17,996.1398939137906,0.027507132436784452,271.9468849514692
2023-06-18,1001.1795551205659,0.027507132436784452,271.9468849514692
2023-06-19,996.380580820686,0.0284594218122437,246.86718922577478
2023-06-20,1011.0319580073658,0.0284594218122437,246.86718922577478
2023-06-21,1053.051127067679,0.0284594218122437,246.86718922577478
2023-06-22,1101.4266969372266,0.020382647611621577,489.3908859584614
2023-06-23,1099.0823757490593,0.020050238779160956,499.33399247456066
2023-06-24,1114.785472346704,0.011522737080701093,761.089655224277
2023-06-25,1113.0942409342385,0.007736284519610321,876.7608413098735
2023-06-26,1112.5648179441964,0.005361990955865562,949.129930451969
2023-06-27,1111.4434605422807,0.0046110591323826056,971.8614859748928
2023-06-28,1113.3664259090813,0.004347266309142106,979.956803457501
2023-06-29,1110.7497274374628,0.0036918854025447473,999.6747546937165
2023-06-30,1112.0755033934859,0.00365269392330519,1000.8679530541373
2023-07-01,1112.19202650012,0.00364925297017334,1000.9728238501079
2023-07-02,1112.6037576147335,0.0036371393037547134,1001.3433818532601
2023-07-03,1112.7153861508143,0.003633858338446556,1001.4438475357329
2023-07-04,1114.661934840678,0.003577629390222748,1003.1957413566103
